,metadata_name,metadata_activityType,metadata_climbCategory,metadata_verifiedStatus,measurements_distance,measurements_avgGrade,measurements_elevHigh,measurements_elevLow,elevationChart_url,totalAthletes,totalEfforts,athletePrEffort_timing_elapsedTime,athletePrEffort_activity_id,leaderboards_leaderboardEfforts_athlete_id,leaderboards_leaderboardEfforts_athlete_firstName,leaderboards_leaderboardEfforts_athlete_lastName,leaderboards_leaderboardEfforts_activity_id,leaderboards_leaderboardEfforts_timing_elapsedTime,athletePrEffort,distance_miles,cr_speed
0,South Shore Sprint (North),Ride,,,2083.39990234375,-0.009599690325558186,180.10000610351562,179.10000610351562,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/QVC2C334J7AQAH2AXOB2B2NFIZPNVUMCXUNKDTD5OXJXQRHOV6MLZE3RZACFNWOOLMBWRUYABU======,7274,54490,225.0,11938636904,151980,Zachary,May,1783651723,162,,1.2945678988552762,28.76817553011725
1,South Chicago Ave NB from Commercial to 83rd,Ride,,,2749.5,0.11638499796390533,183.60000610351562,178.39999389648438,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/ISHMAVJRXLWXMTFADNMA5OMUE4FVEZFK5OAAYDQ4CXJGL54ANZV4YSLFDLY4JGDFB23JRWCQAQ======,409,1881,,,32744327,Kody,Bäbler,3585142462,241,,1.7084643394186438,25.520629136544056
2,LSD Ewing to 87th ,Ride,,,871.7999877929688,0.0,194.60000610351562,191.8000030517578,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/VX42JG3K6MEEACQOC2DPZMNE646K5KM4YWB22DPU3X3WVIQFFZREAN65VHWXVGZTSBWV6Y62,9315,69402,88.0,12171900275,51335169,ken,carl,12234058998,49,,0.5417127442261851,39.799303657434
3,Slip N’ Slide,Ride,,,550.5,0.39963701367378235,181.8000030517578,176.1999969482422,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/ZV4MAGMIOQ5CQSCVSN32CR3Z6ZBEVJQTFHBYGURSCXN6HEG73CZWRA3NVGQPDXVEMQKGTZL3NQ======,7602,46939,64.0,11598474763,33408191,Humberto,Kaja,9017399084,35,,0.34206569152571864,35.1838996997882
4,DARC- Uninterrupted 566,Ride,,,1186.0,0.20236100256443024,175.1999969482422,172.39999389648438,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/N25ABXQM6LZJOKW25EU27GVKA7UE4LI7KX6PLAZCXBF4FITRJTASHDCYCO5T4JRBI3BVWETQSQ======,9308,88508,129.0,12171900275,1486703,Andrew,Giniat,1725878232,65,,0.7369480656666708,40.81558517538484
5,Low Hanging Fruit - golf course sprint south,Ride,,,701.0800170898438,-0.05093370005488396,179.7030029296875,178.2030029296875,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/RRTIBD2ELJBOV3LGOFB7LPQO3HGB2VY6MRZESLG7S7POOTSBVEHTOBQEZYDB3BQ3NPAO62MWKE======,16130,177872,81.0,12171900275,125731,TJ,Benko,3860577247,44,,0.4356320088296095,35.642618904240784
6,Jeffrey Blvd - Jackson Park to South Chicago Ave,Ride,,,3153.800048828125,-0.006341559812426567,170.1999969482422,168.0,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/3OOQKZS2R2F2KMAF4QRZNZZ7RS35GMYE3OYTL4CWQNKZW4ZNAAEXVY3WQKF4CL5EZGSLGOLV,248,1081,,,63179,gerald,adasavage,2276846654,296,,1.9596853671866263,23.83401122254005
7,expressway to your skull,Ride,,,6801.2001953125,-0.014703299850225449,183.8000030517578,178.39999389648438,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/XTQK6BH7ZBSEE44FMZ6MZZFR2FFY23XRHAZ6XEZM6LOLAWVODHEXYBMIKLFSBOPUE4AJCWI4OQ======,5,9,,,15049381,Andy,PilsenFox,2020090045,884,,4.226080377864529,17.210282081801246
8,wiggle wiggle squiggle wiggle,Ride,,,767.2000122070312,-0.20855100452899933,174.60000610351562,173.0,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/NEYBCBGNZSHWU36K3CIVP2N23AL3BK3DK244M3VSL7KRVBCXGU7WAVDHJ7IGC2HH5KDUYFPX,80,153,,,14665638,Jason,McCullough,7806772700,69,,0.4767171711428482,24.872200233539903
9,MLK 63 to 67,Ride,,,750.4000244140625,-0.0266525000333786,183.1999969482422,182.39999389648438,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/2YT2N363VH6YZWYTGCEBA5RVGL5A3Q2UA57UZXRZ7WGOPSOVLYHHCPAQLCJZ5UOVF35IPW2G,774,4558,,,4074944,Nicholas,Goossen,3414892972,70,,0.46627811675224784,23.980017432972744
